item_id,knowledge_code
138,[38]
139,[23]
140,[33]
141,[59]
142,[39]
143,[41]
144,[30]
145,[64]
146,[30]
147,[32]
148,[64]
149,[15]
150,[61]
151,[30]
152,[23]
153,[31]
154,[10]
155,[10]
156,[32]
157,[39]
158,[10]
159,"[61,25,38]"
160,[39]
161,[64]
162,[59]
163,[15]
164,[15]
165,[26]
166,[15]
167,[10]
168,[41]
169,[61]
170,[33]
171,[39]
172,[10]
173,[38]
174,[25]
175,[59]
176,[31]
177,[10]
178,[64]
179,[25]
180,[29]
181,[13]
182,[56]
183,[40]
184,[29]
185,[27]
186,[44]
187,[27]
188,[56]
189,[53]
190,[13]
191,[29]
192,[53]
193,[29]
194,[53]
195,[56]
196,[27]
197,[40]
198,[42]
199,[8]
200,[53]
201,[36]
202,[44]
203,[44]
204,[53]
205,[27]
206,[53]
207,[27]
208,[8]
209,[53]
210,[36]
211,[29]
212,[27]
213,[29]
214,[40]
215,[44]
216,[53]
217,[44]
218,[9]
219,[63]
220,[30]
221,[2]
222,[21]
223,[27]
224,[63]
225,[29]
226,[29]
227,[63]
228,[40]
229,[43]
230,[5]
231,[5]
232,[27]
233,[63]
234,[52]
235,[13]
236,[53]
237,[13]
238,[21]
239,[27]
240,[63]
241,[43]
242,"[21,52]"
243,[43]
244,[48]
245,[63]
246,[30]
247,"[56,36]"
248,[52]
249,[27]
250,"[29,42,28]"
251,[40]
252,[43]
