user_id,item_id,score
1,1,0
1,2,1
1,3,1
1,4,0
1,6,0
1,7,1
1,8,1
1,9,1
1,10,1
1,17,1
1,11,1
1,18,1
1,12,1
1,13,1
1,14,0
1,15,1
1,16,0
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,17,1
2,11,1
2,18,1
2,12,1
2,13,0
2,14,0
2,16,0
3,1,1
3,2,1
3,3,1
3,4,1
3,5,0
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,17,1
3,11,1
3,18,1
3,12,1
3,13,1
3,14,1
3,16,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,18,1
4,12,1
4,13,1
4,14,1
4,15,1
4,16,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,17,1
5,11,1
5,18,1
5,12,1
5,19,1
5,13,1
5,14,1
5,15,1
5,16,1
6,1,0
6,2,1
6,20,0
6,3,1
6,4,1
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
6,11,1
6,12,0
6,13,1
6,14,0
6,16,1
7,1,1
7,2,1
7,3,1
7,4,0
7,5,1
7,6,0
7,7,1
7,8,1
7,9,1
7,10,1
7,12,1
7,13,0
7,14,0
7,16,1
8,1,1
8,2,1
8,20,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,17,1
8,11,1
8,18,1
8,12,1
8,19,1
8,13,1
8,14,1
8,15,1
8,16,0
9,1,1
9,2,0
9,3,1
9,4,1
9,6,0
9,7,0
9,8,0
9,9,1
9,10,0
9,17,1
9,11,1
9,12,1
9,13,0
9,14,0
9,16,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,0
10,10,1
10,17,1
10,11,1
10,18,1
10,12,1
10,13,1
10,14,0
10,15,1
10,16,1
11,1,1
11,2,0
11,20,0
11,4,0
11,5,1
11,6,0
11,7,0
11,8,1
11,9,1
11,10,1
11,12,0
11,13,1
11,14,0
11,16,1
12,1,1
12,2,1
12,3,1
12,4,0
12,6,0
12,7,0
12,8,1
12,9,1
12,10,0
12,17,1
12,11,1
12,18,1
12,12,1
12,13,0
12,14,1
12,16,1
13,1,1
13,2,1
13,20,0
13,4,0
13,6,0
13,7,1
13,8,1
13,9,0
13,10,0
13,11,1
13,18,0
13,12,1
13,13,1
13,14,0
13,16,0
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,0
14,7,1
14,8,1
14,9,1
14,10,1
14,17,1
14,11,1
14,18,1
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
15,1,0
15,2,1
15,4,0
15,5,0
15,6,0
15,7,1
15,8,1
15,9,0
15,10,0
15,17,0
15,21,0
15,18,0
15,12,0
15,13,1
15,14,0
15,16,0
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,12,1
16,13,0
16,14,1
16,16,1
17,1,1
17,2,1
17,3,1
17,4,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,0
17,17,0
17,18,0
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,0
18,7,1
18,8,1
18,9,1
18,10,1
18,17,1
18,11,1
18,18,1
18,12,1
18,19,1
18,13,0
18,14,0
18,16,1
19,1,1
19,2,1
19,3,1
19,4,0
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
19,17,0
19,11,1
19,12,1
19,19,0
19,13,0
19,14,0
19,15,1
19,16,1
20,1,0
20,2,1
20,3,1
20,4,0
20,5,0
20,6,0
20,7,1
20,8,1
20,9,1
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
20,16,1
21,1,1
21,2,1
21,3,1
21,4,0
21,5,1
21,6,0
21,7,1
21,8,1
21,9,1
21,10,1
21,11,0
21,12,1
21,13,1
21,14,0
21,16,1
22,1,1
22,2,1
22,3,1
22,4,0
22,5,0
22,6,1
22,7,1
22,8,1
22,9,1
22,10,1
22,11,1
22,12,1
22,13,1
22,14,1
22,15,1
22,16,1
23,1,1
23,2,1
23,4,1
23,5,1
23,6,0
23,7,1
