item_id,knowledge_code
1,[5]
2,[5]
3,[5]
4,[5]
5,[12]
6,[12]
7,[5]
8,[12]
9,[12]
10,[12]
11,[5]
12,[5]
13,[5]
14,[5]
15,[5]
16,[12]
17,[5]
18,[5]
19,[12]
20,[12]
21,[5]
22,[12]
23,[12]
24,[12]
25,[12]
26,[7]
27,[6]
28,[6]
29,[7]
30,[6]
31,[6]
32,[6]
33,[9]
34,[9]
35,[6]
36,[9]
37,[6]
38,[6]
39,[6]
40,[6]
41,[9]
42,[9]
43,[3]
44,[7]
45,[6]
46,[6]
47,[6]
48,[6]
49,[3]
50,[6]
51,[7]
52,[9]
53,[6]
54,[6]
55,[6]
56,[7]
57,[6]
58,[6]
59,[6]
60,[6]
61,[2]
62,[2]
63,[2]
64,[2]
65,[12]
66,[5]
67,[2]
68,[2]
69,[2]
70,[2]
71,[5]
72,[5]
73,[2]
74,[2]
75,[12]
76,[12]
77,[5]
78,[5]
79,[12]
80,[12]
81,[2]
82,[2]
83,[2]
84,[2]
85,[8]
86,[8]
87,[8]
88,[8]
89,[4]
90,[8]
91,[4]
92,[4]
93,[4]
94,[8]
95,[8]
96,[10]
97,[10]
98,[11]
99,[10]
100,[10]
101,[10]
102,[10]
103,[11]
104,[10]
105,[10]
106,[10]
107,[11]
108,[11]
109,[11]
110,[10]
111,[10]
112,[11]
113,[10]
114,[10]
115,[10]
116,[10]
117,[10]
118,[11]
119,[10]
120,[10]
121,[11]
122,[10]
123,[11]
124,[10]
125,[11]
126,[10]
127,[11]
128,[10]
129,[11]
130,[10]
131,[10]
132,[11]
133,[10]
134,[10]
135,[1]
136,[1]
137,[1]
138,[11]
139,[1]
140,[11]
141,[10]
142,[10]
143,[10]
144,[11]
145,[11]
146,[1]
147,[11]
148,[10]
149,[11]
150,[1]
151,[11]
152,[1]
153,[10]
154,[10]
155,[11]
156,[10]
157,[1]
158,[11]
159,[1]
160,[11]
161,[1]
162,[10]
163,[10]
164,[11]
