user_id,item_id,score,Source_id
2743,1,0,2
2743,2,1,2
2743,3,1,2
2743,4,0,2
2743,6,0,2
2743,7,1,2
2743,8,1,2
2743,9,1,2
2743,10,1,2
2743,17,1,2
2743,11,1,2
2743,18,1,2
2743,12,1,2
2743,13,1,2
2743,14,0,2
2743,15,1,2
2743,16,0,2
2744,1,1,2
2744,2,1,2
2744,3,1,2
2744,4,1,2
2744,5,1,2
2744,6,1,2
2744,7,1,2
2744,8,1,2
2744,9,1,2
2744,10,1,2
2744,17,1,2
2744,11,1,2
2744,18,1,2
2744,12,1,2
2744,13,0,2
2744,14,0,2
2744,16,0,2
2745,1,1,2
2745,2,1,2
2745,3,1,2
2745,4,1,2
2745,5,0,2
2745,6,1,2
2745,7,1,2
2745,8,1,2
2745,9,1,2
2745,10,1,2
2745,17,1,2
2745,11,1,2
2745,18,1,2
2745,12,1,2
2745,13,1,2
2745,14,1,2
2745,16,1,2
2746,1,1,2
2746,2,1,2
2746,3,1,2
2746,4,1,2
2746,5,1,2
2746,6,1,2
2746,7,1,2
2746,8,1,2
2746,9,1,2
2746,10,1,2
2746,11,1,2
2746,18,1,2
2746,12,1,2
2746,13,1,2
2746,14,1,2
2746,15,1,2
2746,16,1,2
2747,1,1,2
2747,2,1,2
2747,3,1,2
2747,4,1,2
2747,5,1,2
2747,6,1,2
2747,7,1,2
2747,8,1,2
2747,9,1,2
2747,10,1,2
2747,17,1,2
2747,11,1,2
2747,18,1,2
2747,12,1,2
2747,19,1,2
2747,13,1,2
2747,14,1,2
2747,15,1,2
2747,16,1,2
2748,1,0,2
2748,2,1,2
2748,20,0,2
2748,3,1,2
2748,4,1,2
2748,6,1,2
2748,7,0,2
2748,8,0,2
2748,9,0,2
2748,10,0,2
2748,11,1,2
2748,12,0,2
2748,13,1,2
2748,14,0,2
2748,16,1,2
2749,1,1,2
2749,2,1,2
2749,3,1,2
2749,4,0,2
2749,5,1,2
2749,6,0,2
2749,7,1,2
2749,8,1,2
2749,9,1,2
2749,10,1,2
2749,12,1,2
2749,13,0,2
2749,14,0,2
2749,16,1,2
2750,1,1,2
2750,2,1,2
2750,20,1,2
2750,3,1,2
2750,4,1,2
2750,5,1,2
2750,6,1,2
2750,7,1,2
2750,8,1,2
2750,9,1,2
2750,10,1,2
2750,17,1,2
2750,11,1,2
2750,18,1,2
2750,12,1,2
2750,19,1,2
2750,13,1,2
2750,14,1,2
2750,15,1,2
2750,16,0,2
2751,1,1,2
2751,2,0,2
2751,3,1,2
2751,4,1,2
2751,6,0,2
2751,7,0,2
2751,8,0,2
2751,9,1,2
