user_id,item_id,score
1,1,1
1,2,1
1,4,0
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,0
1,14,0
1,16,1
2,1,1
2,2,1
2,20,0
2,4,1
2,6,1
2,7,1
2,8,1
2,9,0
2,10,0
2,11,0
2,18,0
2,12,1
2,13,1
2,14,1
2,16,1
3,1,1
3,2,1
3,3,1
3,4,0
3,5,1
3,6,0
3,7,1
3,8,1
3,9,1
3,10,1
3,17,1
3,11,1
3,18,1
3,12,1
3,13,1
3,14,0
3,15,1
3,16,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,11,1
4,18,1
4,12,1
4,13,1
4,14,1
4,16,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,17,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,1
5,16,1
6,1,1
6,2,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,0
6,17,1
6,11,1
6,12,1
6,19,1
6,13,1
6,14,1
6,15,1
6,16,1
7,1,1
7,2,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,17,1
7,11,1
7,12,1
7,13,1
7,14,1
7,16,1
8,1,1
8,2,0
8,20,0
8,4,1
8,6,1
8,7,1
8,8,1
8,9,0
8,10,0
8,17,0
8,18,0
8,12,1
8,13,0
8,14,0
8,16,1
9,1,1
9,2,1
9,20,0
9,3,1
9,4,1
9,6,0
9,7,1
9,8,1
9,9,1
9,10,1
9,11,1
9,12,1
9,13,1
9,14,0
9,16,1
10,1,1
10,2,0
10,20,0
10,4,0
10,5,0
10,6,1
10,7,0
10,8,1
10,9,1
10,10,0
10,17,0
10,11,0
10,21,0
10,18,0
10,12,1
10,19,0
10,13,1
10,14,1
10,16,1
11,1,0
11,2,1
11,4,1
11,5,1
11,6,0
11,7,1
11,8,1
11,9,1
11,10,1
11,17,1
11,12,1
11,13,0
11,14,0
11,15,1
11,16,0
12,1,1
12,2,1
12,20,0
12,4,1
12,5,1
12,6,0
12,7,1
12,8,1
12,9,1
12,10,0
12,11,1
12,12,1
12,13,1
12,14,0
12,16,1
13,1,1
13,2,0
13,4,0
13,5,0
13,6,0
13,7,1
13,8,1
13,9,0
13,10,1
13,21,0
13,18,0
13,12,1
13,13,1
13,14,0
13,16,0
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,12,1
14,13,1
14,14,0
14,15,1
14,16,1
15,1,0
15,2,1
15,4,1
15,5,0
15,6,0
15,7,1
15,8,0
15,9,1
15,10,0
15,11,0
15,18,0
15,12,1
15,13,1
15,14,0
15,15,1
15,16,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,17,1
16,11,1
16,21,1
16,18,1
16,12,1
16,13,1
16,14,0
16,15,1
16,16,1
17,1,1
17,2,1
17,4,1
17,6,0
17,7,1
17,8,1
17,9,1
17,10,1
17,11,1
17,12,0
17,13,1
17,14,0
17,16,0
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,0
18,7,1
18,8,1
18,9,1
18,10,1
18,17,1
18,11,1
18,18,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,1
19,1,1
19,2,1
19,4,1
19,6,0
19,7,0
19,8,1
19,9,1
19,10,1
19,17,1
19,12,1
19,13,0
